Date,Open,High,Low,Close,Adj_Close,Volume,Monthno,Day,Month,Ndate
1/2/2020,61.599998,61.599998,60.639999,61.18,61.18,486873,1,2,Jan,2-Jan
1/3/2020,61.18,64.089996,61.130001,63.049999,63.049999,885861,1,3,Jan,3-Jan
1/6/2020,63.709999,64.720001,62.639999,63.27,63.27,724236,1,6,Jan,6-Jan
1/7/2020,62.91,63.150002,62.110001,62.700001,62.700001,582649,1,7,Jan,7-Jan
1/8/2020,62.84,65.650002,59.150002,59.610001,59.610001,1205710,1,8,Jan,8-Jan
1/9/2020,59.990002,60.310001,58.66,59.560001,59.560001,750933,1,9,Jan,9-Jan
1/10/2020,59.610001,59.779999,58.849998,59.040001,59.040001,596186,1,10,Jan,10-Jan
1/13/2020,59.040001,59.27,57.91,58.080002,58.080002,584002,1,13,Jan,13-Jan
1/14/2020,58.029999,58.720001,57.720001,58.23,58.23,507714,1,14,Jan,14-Jan
1/15/2020,58.200001,58.360001,57.360001,57.810001,57.810001,433169,1,15,Jan,15-Jan
1/16/2020,58.099998,58.869999,57.560001,58.52,58.52,182871,1,16,Jan,16-Jan
1/17/2020,58.59,58.98,58.27,58.540001,58.540001,122561,1,17,Jan,17-Jan
1/21/2020,59.169998,59.73,57.68,58.34,58.34,648335,1,21,Jan,21-Jan
1/22/2020,58.259998,58.380001,56.029999,56.740002,56.740002,620119,1,22,Jan,22-Jan
1/23/2020,56.110001,56.27,54.77,55.59,55.59,703995,1,23,Jan,23-Jan
1/24/2020,55.689999,55.950001,53.849998,54.189999,54.189999,586195,1,24,Jan,24-Jan
1/27/2020,53.700001,53.709999,52.130001,53.139999,53.139999,712880,1,27,Jan,27-Jan
1/28/2020,52.77,54.060001,52.68,53.48,53.48,633963,1,28,Jan,28-Jan
1/29/2020,53.970001,54.369999,52.810001,53.330002,53.330002,624979,1,29,Jan,29-Jan
1/30/2020,53.09,53.200001,51.66,52.139999,52.139999,720123,1,30,Jan,30-Jan
1/31/2020,52.919998,53.360001,50.970001,51.560001,51.560001,827907,1,31,Jan,31-Jan
2/3/2020,51.009998,51.970001,49.799999,50.110001,50.110001,876044,2,3,Feb,3-Feb
2/4/2020,49.939999,51.549999,49.310001,49.610001,49.610001,859357,2,4,Feb,4-Feb
2/5/2020,49.509998,51.880001,49.470001,50.75,50.75,887946,2,5,Feb,5-Feb
2/6/2020,51.169998,52.200001,50.240002,50.950001,50.950001,750659,2,6,Feb,6-Feb
2/7/2020,51.110001,51.48,50.09,50.32,50.32,768345,2,7,Feb,7-Feb
2/10/2020,50.119999,50.490002,49.419998,49.57,49.57,715894,2,10,Feb,10-Feb
2/11/2020,49.610001,50.689999,49.580002,49.939999,49.939999,725733,2,11,Feb,11-Feb
2/12/2020,49.959999,51.73,49.950001,51.169998,51.169998,795256,2,12,Feb,12-Feb
2/13/2020,51.720001,51.959999,50.599998,51.419998,51.419998,745400,2,13,Feb,13-Feb
2/14/2020,51.509998,52.34,51.32,52.049999,52.049999,607343,2,14,Feb,14-Feb
2/18/2020,52.23,52.41,50.880001,52.049999,52.049999,221774,2,18,Feb,18-Feb
2/19/2020,52.119999,53.66,51.93,53.290001,53.290001,113683,2,19,Feb,19-Feb
2/20/2020,53.5,54.5,53.220001,53.779999,53.779999,676179,2,20,Feb,20-Feb
2/21/2020,53.740002,53.860001,52.549999,53.380001,53.380001,707555,2,21,Feb,21-Feb
2/24/2020,52.599998,52.639999,50.450001,51.43,51.43,765515,2,24,Feb,24-Feb
2/25/2020,51.369999,52.02,49.689999,49.900002,49.900002,764989,2,25,Feb,25-Feb
2/26/2020,50.080002,50.439999,48.299999,48.73,48.73,884482,2,26,Feb,26-Feb
2/27/2020,48.630001,48.779999,45.880001,47.09,47.09,1011915,2,27,Feb,27-Feb
2/28/2020,46.490002,47.029999,43.849998,44.759998,44.759998,1101659,2,28,Feb,28-Feb
3/2/2020,43.700001,47.560001,43.32,46.75,46.75,949471,3,2,March,2-Mar
3/3/2020,47.720001,48.66,46.470001,47.18,47.18,1011933,3,3,March,3-Mar
3/4/2020,46.939999,48.41,46.650002,46.779999,46.779999,745856,3,4,March,4-Mar
3/5/2020,47.130001,47.57,45.650002,45.900002,45.900002,704591,3,5,March,5-Mar
3/6/2020,46.09,46.380001,41.049999,41.279999,41.279999,1276180,3,6,March,6-Mar
3/8/2020,32.869999,33.59,30,32.5,32.5,9423555,3,8,March,8-Mar
3/9/2020,32.869999,34.880001,27.34,31.129999,31.129999,1774383,3,9,March,9-Mar
3/10/2020,30.370001,35.02,30.200001,34.360001,34.360001,1064632,3,10,March,10-Mar
3/11/2020,34.619999,36.349998,32.560001,32.98,32.98,874646,3,11,March,11-Mar
3/12/2020,33.07,33.630001,30.02,31.5,31.5,1025036,3,12,March,12-Mar
3/13/2020,30.77,33.869999,30.33,31.73,31.73,743129,3,13,March,13-Mar
3/15/2020,33.75,33.75,29.75,30.389999,30.389999,3617072,3,15,March,15-Mar
3/16/2020,33.75,33.75,28.1,28.700001,28.700001,698829,3,16,March,16-Mar
3/17/2020,28.690001,30.299999,26.629999,26.950001,26.950001,545820,3,17,March,17-Mar
3/18/2020,26.940001,27.219999,20.059999,20.370001,20.370001,309481,3,18,March,18-Mar
3/19/2020,22.299999,27.709999,21.360001,25.219999,25.219999,136722,3,19,March,19-Mar
3/20/2020,24.73,27.889999,19.459999,22.43,22.43,1133808,3,20,March,20-Mar
3/22/2020,22.52,23.07,20.799999,21.35,21.35,3444774,3,22,March,22-Mar
3/23/2020,22.52,24.07,20.799999,23.360001,23.360001,852951,3,23,March,23-Mar
3/24/2020,23.870001,25.16,23.09,24.01,24.01,659697,3,24,March,24-Mar
3/25/2020,24.370001,25.24,22.91,24.49,24.49,618725,3,25,March,25-Mar
3/26/2020,24.25,24.65,22.379999,22.6,22.6,633877,3,26,March,26-Mar
3/27/2020,23.290001,23.440001,20.879999,21.51,21.51,603124,3,27,March,27-Mar
3/29/2020,20.93,20.93,19.92,20.35,20.35,3163583,3,29,March,29-Mar
3/30/2020,20.93,20.93,19.27,20.09,20.09,758711,3,30,March,30-Mar
3/31/2020,20.23,21.889999,20.01,20.48,20.48,660082,3,31,March,31-Mar
4/1/2020,20.1,21.549999,19.9,20.309999,20.309999,703286,4,1,April,1-Apr
4/2/2020,21.219999,27.389999,20.76,25.32,25.32,1095972,4,2,April,2-Apr
4/3/2020,24.809999,29.129999,23.52,28.34,28.34,1007577,4,3,April,3-Apr
4/6/2020,26.09,28.24,25.280001,26.08,26.08,752710,4,6,April,6-Apr
4/7/2020,26.34,27.24,23.540001,23.629999,23.629999,797707,4,7,April,7-Apr
4/8/2020,24.299999,26.450001,23.74,25.09,25.09,823554,4,8,April,8-Apr
4/9/2020,26.280001,28.360001,22.57,22.76,22.76,1122149,4,9,April,9-Apr
4/12/2020,24.6,24.74,22.030001,23.129999,23.129999,4624660,4,12,April,12-Apr
4/13/2020,24.6,24.74,22.030001,22.41,22.41,775120,4,13,April,13-Apr
4/14/2020,22.360001,23.08,19.950001,20.110001,20.110001,785478,4,14,April,14-Apr
4/15/2020,20.719999,20.889999,19.200001,19.870001,19.870001,544797,4,15,April,15-Apr
4/16/2020,20.15,20.530001,19.42,19.870001,19.870001,350942,4,16,April,16-Apr
4/17/2020,20,20.219999,17.309999,18.27,18.27,240628,4,17,April,17-Apr
4/19/2020,17.48,17.58,16.93,16.99,16.99,341851,4,19,April,19-Apr
4/20/2020,17.73,17.85,-40.32,-37.630001,-37.630001,247947,4,20,April,20-Apr
4/21/2020,-14,13.86,-16.74,10.01,10.01,2288230,4,21,April,21-Apr
4/22/2020,13.12,16.18,10.26,13.78,13.78,1235218,4,22,April,22-Apr
4/23/2020,14.2,18.26,13.35,16.5,16.5,833584,4,23,April,23-Apr
4/24/2020,16.780001,17.969999,15.64,16.940001,16.940001,600220,4,24,April,24-Apr
4/26/2020,16.459999,16.790001,16.440001,16.559999,16.559999,906406,4,26,April,26-Apr
4/27/2020,16.84,16.98,11.88,12.78,12.78,623201,4,27,April,27-Apr
4/28/2020,12.96,13.69,10.07,12.34,12.34,897087,4,28,April,28-Apr
4/29/2020,13.35,16.780001,12.67,15.06,15.06,554134,4,29,April,29-Apr
4/30/2020,15.64,19.440001,15.45,18.84,18.84,545344,4,30,April,30-Apr
5/1/2020,19.040001,20.48,18.07,19.780001,19.780001,403201,5,1,May,1-May
5/3/2020,19.35,19.530001,18.5,18.629999,18.629999,1028390,5,3,May,3-May
5/4/2020,19.110001,21.42,18.049999,20.389999,20.389999,311488,5,4,May,4-May
5/5/2020,21.24,25.49,21.129999,24.559999,24.559999,387240,5,5,May,5-May
5/6/2020,25.52,26.08,22.58,23.99,23.99,381165,5,6,May,6-May
5/7/2020,24.09,26.74,22.940001,23.549999,23.549999,310261,5,7,May,7-May
5/8/2020,23.35,24.99,23.26,24.74,24.74,205181,5,8,May,8-May
5/10/2020,24.5,24.75,24.129999,24.67,24.67,324949,5,10,May,10-May
5/11/2020,24.49,25.58,23.67,24.139999,24.139999,179591,5,11,May,11-May
5/12/2020,24.49,26.23,24.219999,25.780001,25.780001,212335,5,12,May,12-May
5/13/2020,25.299999,26.450001,24.790001,25.290001,25.290001,150864,5,13,May,13-May
5/14/2020,25.559999,27.959999,25.18,27.559999,27.559999,160507,5,14,May,14-May
5/15/2020,27.639999,29.92,27.24,29.43,29.43,108016,5,15,May,15-May
5/17/2020,29.530001,30.32,29.530001,30.26,30.26,43749,5,17,May,17-May
5/18/2020,29.530001,33.32,29.530001,31.82,31.82,89376,5,18,May,18-May
5/19/2020,32.830002,33.439999,31.34,32.5,32.5,430823,5,19,May,19-May
5/20/2020,31.889999,33.779999,31.559999,33.490002,33.490002,406431,5,20,May,20-May
5/21/2020,33.529999,34.66,33.259998,33.919998,33.919998,372814,5,21,May,21-May
5/22/2020,33.950001,34,30.719999,33.25,33.25,429036,5,22,May,22-May
5/24/2020,33.060001,33.09,32.790001,32.93,32.93,523787,5,24,May,24-May
5/26/2020,33.299999,34.810001,32.48,34.349998,34.349998,466737,5,26,May,26-May
5/27/2020,34.139999,34.32,31.75,32.810001,32.810001,415246,5,27,May,27-May
5/28/2020,32.099998,34.209999,31.139999,33.709999,33.709999,440168,5,28,May,28-May
5/29/2020,33.68,35.77,32.360001,35.490002,35.490002,443647,5,29,May,29-May
5/31/2020,35.209999,35.439999,35.209999,35.27,35.27,383306,5,31,May,31-May
6/1/2020,35.209999,35.900002,34.27,35.439999,35.439999,385710,6,1,June,1-Jun
6/2/2020,35.560001,37.060001,35.279999,36.810001,36.810001,343483,6,2,June,2-Jun
6/3/2020,36.860001,38.18,35.880001,37.290001,37.290001,494253,6,3,June,3-Jun
6/4/2020,36.759998,37.619999,36.380001,37.41,37.41,307612,6,4,June,4-Jun
6/5/2020,37.330002,39.68,37.049999,39.549999,39.549999,396856,6,5,June,5-Jun
6/7/2020,39.41,40.439999,39.279999,40.360001,40.360001,1673562,6,7,June,7-Jun
6/8/2020,39.41,40.439999,37.959999,38.189999,38.189999,416639,6,8,June,8-Jun
6/9/2020,38.220001,39.099998,37.07,38.939999,38.939999,396033,6,9,June,9-Jun
6/10/2020,38.5,39.91,37.73,39.599998,39.599998,385868,6,10,June,10-Jun
6/11/2020,39.09,39.09,35.41,36.34,36.34,513912,6,11,June,11-Jun
6/12/2020,36.259998,36.990002,34.48,36.259998,36.259998,406508,6,12,June,12-Jun
6/14/2020,36.029999,36.119999,35.330002,35.5,35.5,843693,6,14,June,14-Jun
6/15/2020,36.029999,37.259998,34.360001,37.119999,37.119999,387546,6,15,June,15-Jun
6/16/2020,37.049999,39.060001,36.380001,38.380001,38.380001,366323,6,16,June,16-Jun
6/17/2020,37.93,38.75,37.209999,37.959999,37.959999,239516,6,17,June,17-Jun
6/18/2020,37.740002,38.970001,37.110001,38.84,38.84,113384,6,18,June,18-Jun
6/19/2020,38.849998,40.490002,38.400002,39.75,39.75,64113,6,19,June,19-Jun
6/21/2020,39.18,39.77,39.119999,39.77,39.77,252,6,21,June,21-Jun
6/22/2020,39.18,40.700001,39.119999,40.459999,40.459999,315264,6,22,June,22-Jun
6/23/2020,40.68,41.630001,39.759998,40.369999,40.369999,368730,6,23,June,23-Jun
6/24/2020,39.990002,40.540001,37.310001,38.009998,38.009998,499490,6,24,June,24-Jun
6/25/2020,38.049999,39.23,37.080002,38.720001,38.720001,451640,6,25,June,25-Jun
6/26/2020,39.09,39.349998,37.790001,38.490002,38.490002,356712,6,26,June,26-Jun
6/28/2020,37.959999,38.119999,37.68,37.849998,37.849998,631650,6,28,June,28-Jun
6/29/2020,37.959999,39.889999,37.5,39.700001,39.700001,343913,6,29,June,29-Jun
6/30/2020,39.639999,40.080002,38.849998,39.27,39.27,370059,6,30,June,30-Jun
7/1/2020,39.84,40.580002,39.049999,39.82,39.82,407170,7,1,July,1-Jul
7/2/2020,39.779999,40.740002,39.459999,40.650002,40.650002,347096,7,2,July,2-Jul
7/5/2020,40.310001,40.529999,40.200001,40.380001,40.380001,267547,7,5,July,5-Jul
7/6/2020,40.380001,41.080002,39.84,40.630001,40.630001,373236,7,6,July,6-Jul
7/7/2020,40.68,40.950001,39.900002,40.619999,40.619999,256596,7,7,July,7-Jul
7/8/2020,40.48,41.080002,40.299999,40.900002,40.900002,286740,7,8,July,8-Jul
7/9/2020,40.869999,40.990002,39.27,39.619999,39.619999,367386,7,9,July,9-Jul
7/10/2020,39.580002,40.77,38.540001,40.549999,40.549999,393149,7,10,July,10-Jul
7/12/2020,40.349998,40.529999,39.93,40.209999,40.209999,616350,7,12,July,12-Jul
7/13/2020,40.349998,40.720001,39.470001,40.099998,40.099998,370715,7,13,July,13-Jul
7/14/2020,39.599998,40.57,39.07,40.290001,40.290001,426971,7,14,July,14-Jul
7/15/2020,40.549999,41.259998,40.080002,41.200001,41.200001,352542,7,15,July,15-Jul
7/16/2020,40.970001,41.18,40.52,40.75,40.75,200101,7,16,July,16-Jul
7/17/2020,40.720001,40.900002,40.02,40.59,40.59,88220,7,17,July,17-Jul
7/19/2020,40.639999,40.650002,40.459999,40.639999,40.639999,6636,7,19,July,19-Jul
7/20/2020,40.639999,40.91,39.830002,40.810001,40.810001,60179,7,20,July,20-Jul
7/21/2020,40.650002,42.400002,40.639999,41.959999,41.959999,389117,7,21,July,21-Jul
7/22/2020,41.540001,42.029999,41.139999,41.900002,41.900002,333647,7,22,July,22-Jul
7/23/2020,41.950001,42.360001,40.830002,41.07,41.07,389412,7,23,July,23-Jul
7/24/2020,41.060001,41.669998,40.66,41.290001,41.290001,353159,7,24,July,24-Jul
7/26/2020,41.259998,41.380001,40.91,41.110001,41.110001,467510,7,26,July,26-Jul
7/27/2020,41.259998,41.82,40.48,41.599998,41.599998,377714,7,27,July,27-Jul
7/28/2020,41.650002,41.93,40.849998,41.040001,41.040001,276804,7,28,July,28-Jul
7/29/2020,41.130001,41.57,40.93,41.27,41.27,295855,7,29,July,29-Jul
7/30/2020,41.32,41.389999,38.720001,39.919998,39.919998,487325,7,30,July,30-Jul
7/31/2020,40.34,40.549999,39.66,40.27,40.27,318788,7,31,July,31-Jul
8/2/2020,40.389999,40.43,39.98,40.119999,40.119999,314152,8,2,Aug,2-Aug
8/3/2020,40.389999,41.240002,39.580002,41.009998,41.009998,338326,8,3,Aug,3-Aug
8/4/2020,40.779999,42.080002,40.139999,41.700001,41.700001,451575,8,4,Aug,4-Aug
8/5/2020,41.560001,43.52,41.470001,42.189999,42.189999,491268,8,5,Aug,5-Aug
8/6/2020,42.189999,42.650002,41.610001,41.950001,41.950001,491268,8,6,Aug,6-Aug
8/7/2020,41.970001,42.220001,41.060001,41.220001,41.220001,398997,8,7,Aug,7-Aug
8/9/2020,41.5,41.700001,41.169998,41.599998,41.599998,431991,8,9,Aug,9-Aug
8/10/2020,41.5,42.330002,41.169998,41.939999,41.939999,367796,8,10,Aug,10-Aug
8/11/2020,41.98,42.939999,41.48,41.610001,41.610001,432843,8,11,Aug,11-Aug
8/12/2020,41.619999,42.900002,41.529999,42.669998,42.669998,397831,8,12,Aug,12-Aug
8/13/2020,42.57,42.84,42.09,42.240002,42.240002,329507,8,13,Aug,13-Aug
8/14/2020,42.330002,42.57,41.619999,42.009998,42.009998,310866,8,14,Aug,14-Aug
8/16/2020,42.240002,42.419998,42.09,42.27,42.27,338861,8,16,Aug,16-Aug
8/17/2020,42.240002,42.970001,41.799999,42.889999,42.889999,208429,8,17,Aug,17-Aug
8/18/2020,42.790001,42.990002,42.110001,42.889999,42.889999,111628,8,18,Aug,18-Aug
8/19/2020,42.599998,43.029999,42.360001,42.93,42.93,81299,8,19,Aug,19-Aug
8/20/2020,42.740002,42.790001,41.5,42.580002,42.580002,377070,8,20,Aug,20-Aug
8/21/2020,42.75,42.959999,41.459999,42.34,42.34,345368,8,21,Aug,21-Aug
8/23/2020,42.48,42.700001,42.310001,42.470001,42.470001,649796,8,23,Aug,23-Aug
8/24/2020,42.48,42.889999,42.23,42.619999,42.619999,294731,8,24,Aug,24-Aug
8/25/2020,42.360001,43.57,42.310001,43.349998,43.349998,330800,8,25,Aug,25-Aug
8/26/2020,43.389999,43.779999,43,43.389999,43.389999,262243,8,26,Aug,26-Aug
8/27/2020,43.450001,43.5,42.360001,43.040001,43.040001,320968,8,27,Aug,27-Aug
8/28/2020,42.98,43.419998,42.689999,42.970001,42.970001,272800,8,28,Aug,28-Aug
8/30/2020,42.91,43.060001,42.900002,43.049999,43.049999,132611,8,30,Aug,30-Aug
8/31/2020,42.91,43.57,42.560001,42.610001,42.610001,236877,8,31,Aug,31-Aug
9/1/2020,42.830002,43.43,42.720001,42.759998,42.759998,285146,9,1,Sep,1-Sep
9/2/2020,43.02,43.209999,41.23,41.509998,41.509998,421771,9,2,Sep,2-Sep
9/3/2020,41.630001,41.790001,40.220001,41.369999,41.369999,417634,9,3,Sep,3-Sep
9/4/2020,41.25,41.869999,39.349998,39.77,39.77,444184,9,4,Sep,4-Sep
9/8/2020,39.48,39.59,36.130001,36.759998,36.759998,720975,9,8,Sep,8-Sep
9/9/2020,36.790001,38.450001,36.16,38.049999,38.049999,455356,9,9,Sep,9-Sep
9/10/2020,37.799999,38.18,36.93,37.299999,37.299999,367555,9,10,Sep,10-Sep
9/11/2020,37.009998,37.82,36.669998,37.330002,37.330002,363787,9,11,Sep,11-Sep
9/14/2020,37.32,37.68,36.82,37.259998,37.259998,347563,9,14,Sep,14-Sep
9/15/2020,37.279999,38.57,37.060001,38.279999,38.279999,348861,9,15,Sep,15-Sep
9/16/2020,38.349998,40.34,38.349998,40.16,40.16,367612,9,16,Sep,16-Sep
9/17/2020,40.189999,41.220001,39.419998,40.970001,40.970001,280669,9,17,Sep,17-Sep
9/18/2020,40.970001,41.490002,40.299999,41.110001,41.110001,85906,9,18,Sep,18-Sep
9/21/2020,40.98,41.27,38.66,39.310001,39.310001,66195,9,21,Sep,21-Sep
9/22/2020,39.630001,40.02,39,39.599998,39.599998,287807,9,22,Sep,22-Sep
9/23/2020,39.759998,40.75,39.259998,39.93,39.93,318754,9,23,Sep,23-Sep
9/24/2020,39.599998,40.369999,39.119999,40.310001,40.310001,269992,9,24,Sep,24-Sep
9/25/2020,40.150002,40.639999,39.709999,40.25,40.25,229025,9,25,Sep,25-Sep
9/28/2020,40.07,40.799999,39.779999,40.599998,40.599998,226425,9,28,Sep,28-Sep
9/29/2020,40.580002,40.700001,38.41,39.290001,39.290001,379599,9,29,Sep,29-Sep
9/30/2020,39.16,40.369999,38.68,40.220001,40.220001,340294,9,30,Sep,30-Sep
10/1/2020,39.900002,40.470001,37.610001,38.720001,38.720001,443442,10,1,Oct,1-Oct
10/2/2020,38.599998,38.650002,36.630001,37.049999,37.049999,391428,10,2,Oct,2-Oct
10/5/2020,37,39.720001,37,39.220001,39.220001,378579,10,5,Oct,5-Oct
10/6/2020,39.349998,40.860001,39.099998,40.669998,40.669998,400531,10,6,Oct,6-Oct
10/7/2020,39.830002,40.349998,39.279999,39.950001,39.950001,433065,10,7,Oct,7-Oct
10/8/2020,39.990002,41.330002,39.759998,41.189999,41.189999,409787,10,8,Oct,8-Oct
10/9/2020,41.310001,41.470001,40.380001,40.599998,40.599998,331703,10,9,Oct,9-Oct
10/12/2020,40.400002,40.450001,39.040001,39.43,39.43,322035,10,12,Oct,12-Oct
10/13/2020,39.529999,40.529999,39.349998,40.200001,40.200001,375470,10,13,Oct,13-Oct
10/14/2020,40.189999,41.16,39.82,41.040001,41.040001,375470,10,14,Oct,14-Oct
